store_id,product_id,sale_date,quantity,unit_price,discount,category,brand,cost_price,location,region,gross_amount,net_amount,profit
10,102,2025-08-29,2,4799.85,2.65,electronics,BrandC,3803.33,New Melanie,south,9599.7,9597.05,1990.39
8,106,2025-08-18,9,5938.01,45.54,toys,BrandC,3434.36,North Kristopherborough,south,53442.09,53396.55,22487.31
4,148,2025-10-09,8,4724.21,72.66,electronics,BrandB,3686.35,Saraville,north,37793.68,37721.02,8230.22
8,134,2025-10-07,9,2250.81,462.93,toys,BrandD,891.59,North Kristopherborough,south,20257.29,19794.36,11770.05
7,114,2025-09-12,6,3335.43,217.69,toys,BrandB,3433.39,Lake David,south,20012.58,19794.89,-805.45
4,125,2025-11-03,2,2985.37,32.04,electronics,BrandC,4862.25,Saraville,north,5970.74,5938.7,-3785.8
2,127,2025-10-05,10,5489.16,110.89,electronics,BrandC,2587.64,Brandonfurt,south,54891.6,54780.71,28904.31
2,130,2025-08-13,2,3089,40.02,toys,BrandE,4224.18,Brandonfurt,south,6178,6137.98,-2310.38
7,122,2025-10-07,1,2422.03,18.88,clothing,BrandA,115.9,Lake David,south,2422.03,2403.15,2287.25
6,111,2025-10-27,9,1201.92,192.16,furniture,BrandE,1331.93,South Donna,north,10817.28,10625.12,-1362.25
7,124,2025-10-14,9,2015.43,492.22,electronics,BrandA,3626.44,Lake David,south,18138.87,17646.65,-14991.31
7,120,2025-09-29,4,1431.27,306.98,groceries,BrandB,1538.15,Lake David,south,5725.08,5418.1,-734.5
8,147,2025-08-17,10,5390.22,260.5,groceries,BrandC,485.91,North Kristopherborough,south,53902.2,53641.7,48782.6
1,121,2025-10-20,9,4704.45,355.8,clothing,BrandC,874.97,Thomasberg,south,42340.05,41984.25,34109.52
2,150,2025-09-02,3,492.76,298.74,electronics,BrandE,4892.12,Brandonfurt,south,1478.28,1179.54,-13496.82
1,137,2025-08-30,3,5950.46,472.86,electronics,BrandC,4600.62,Thomasberg,south,17851.38,17378.52,3576.66
7,139,2025-09-18,6,3247.18,410.11,groceries,BrandB,2494.17,Lake David,south,19483.08,19072.97,4107.95
6,106,2025-08-31,9,4636.03,320.15,toys,BrandC,3434.36,South Donna,north,41724.27,41404.12,10494.88
2,104,2025-08-26,8,5997.69,219.49,clothing,BrandC,848.92,Brandonfurt,south,47981.52,47762.03,40970.67
4,110,2025-11-05,2,5847.78,100.85,toys,BrandA,2393.44,Saraville,north,11695.56,11594.71,6807.83
4,111,2025-11-08,4,735.79,328.44,furniture,BrandE,1331.93,Saraville,north,2943.16,2614.72,-2713
4,149,2025-08-30,10,3992.66,401.95,clothing,BrandB,4098.51,Saraville,north,39926.6,39524.65,-1460.45
9,140,2025-09-19,8,1709.18,143,toys,BrandE,648.15,New Ericmouth,west,13673.44,13530.44,8345.24
8,104,2025-09-10,2,4925.27,16.8,clothing,BrandC,848.92,North Kristopherborough,south,9850.54,9833.74,8135.9
3,144,2025-10-08,9,5515.97,299.76,electronics,BrandD,1273.32,Lake Tammychester,east,49643.73,49343.97,37884.09
7,106,2025-09-26,8,477.07,257.91,toys,BrandC,3434.36,Lake David,south,3816.56,3558.65,-23916.23
3,118,2025-08-13,1,5978.89,115.84,furniture,BrandC,3866.13,Lake Tammychester,east,5978.89,5863.05,1996.92
5,129,2025-09-29,8,1433.56,84.74,groceries,BrandB,3163.97,Lake David,north,11468.48,11383.74,-13928.02
8,143,2025-10-17,3,5102.05,18.03,clothing,BrandE,4053.2,North Kristopherborough,south,15306.15,15288.12,3128.52
4,128,2025-10-08,9,4814.74,119.63,groceries,BrandA,621.41,Saraville,north,43332.66,43213.03,37620.34
2,132,2025-09-01,7,2225.61,0.14,electronics,BrandB,1074.66,Brandonfurt,south,15579.27,15579.13,8056.51
8,139,2025-09-02,8,5059.45,78.72,groceries,BrandB,2494.17,North Kristopherborough,south,40475.6,40396.88,20443.52
9,129,2025-09-30,10,5094.54,498.41,groceries,BrandB,3163.97,New Ericmouth,west,50945.4,50446.99,18807.29
2,127,2025-09-19,1,1180.19,389.84,electronics,BrandC,2587.64,Brandonfurt,south,1180.19,790.35,-1797.29
1,118,2025-09-15,9,3616.24,176.56,furniture,BrandC,3866.13,Thomasberg,south,32546.16,32369.6,-2425.57
9,114,2025-08-19,8,4866.33,197.57,toys,BrandB,3433.39,New Ericmouth,west,38930.64,38733.07,11265.95
1,149,2025-08-15,5,4231.12,293.04,clothing,BrandB,4098.51,Thomasberg,south,21155.6,20862.56,370.01
2,133,2025-10-04,1,5496.78,258.87,furniture,BrandD,1932.18,Brandonfurt,south,5496.78,5237.91,3305.73
4,108,2025-09-04,7,315.01,368.46,toys,BrandB,1985.36,Saraville,north,2205.07,1836.61,-12060.91
3,123,2025-08-23,5,4248.28,34.31,groceries,BrandB,3638.25,Lake Tammychester,east,21241.4,21207.09,3015.84
7,128,2025-08-24,1,5693.22,45.08,groceries,BrandA,621.41,Lake David,south,5693.22,5648.14,5026.73
8,108,2025-10-21,4,3447.1,142.25,toys,BrandB,1985.36,North Kristopherborough,south,13788.4,13646.15,5704.71
8,119,2025-11-05,10,3444.19,414.88,groceries,BrandE,1766.86,North Kristopherborough,south,34441.9,34027.02,16358.42
4,144,2025-11-02,2,1251.17,457.5,electronics,BrandD,1273.32,Saraville,north,2502.34,2044.84,-501.8
7,144,2025-10-22,1,5929.84,174.05,electronics,BrandD,1273.32,Lake David,south,5929.84,5755.79,4482.47
1,138,2025-09-10,7,5307.51,481.64,toys,BrandB,3034.83,Thomasberg,south,37152.57,36670.93,15427.12
3,132,2025-10-11,6,3029.53,138.25,electronics,BrandB,1074.66,Lake Tammychester,east,18177.18,18038.93,11590.97
7,134,2025-10-12,2,1957.96,303.18,toys,BrandD,891.59,Lake David,south,3915.92,3612.74,1829.56
1,143,2025-09-06,9,3019.05,97.26,clothing,BrandE,4053.2,Thomasberg,south,27171.45,27074.19,-9404.61
7,120,2025-09-13,1,678.01,464.86,groceries,BrandB,1538.15,Lake David,south,678.01,213.15,-1325
5,103,2025-09-27,2,1510.85,287.45,clothing,BrandD,4319.4,Lake David,north,3021.7,2734.25,-5904.55
8,115,2025-09-19,8,1430.03,130.55,groceries,BrandB,661.3,North Kristopherborough,south,11440.24,11309.69,6019.29
5,126,2025-11-06,1,3229.72,203.57,furniture,BrandD,3833.61,Lake David,north,3229.72,3026.15,-807.46
7,139,2025-09-19,5,154,53.23,groceries,BrandB,2494.17,Lake David,south,770,716.77,-11754.08
9,104,2025-08-22,7,5519.69,36.19,clothing,BrandC,848.92,New Ericmouth,west,38637.83,38601.64,32659.2
8,101,2025-09-06,3,1328.57,147.13,electronics,BrandD,2518.23,North Kristopherborough,south,3985.71,3838.58,-3716.11
3,114,2025-08-19,3,913.36,473.51,toys,BrandB,3433.39,Lake Tammychester,east,2740.08,2266.57,-8033.6
4,120,2025-08-14,7,4344.09,401.47,groceries,BrandB,1538.15,Saraville,north,30408.63,30007.16,19240.11
5,114,2025-09-03,6,5524.87,478.35,toys,BrandB,3433.39,Lake David,north,33149.22,32670.87,12070.53
4,150,2025-09-23,7,5089.06,438.06,electronics,BrandE,4892.12,Saraville,north,35623.42,35185.36,940.52
1,109,2025-08-24,8,2042.99,406.57,clothing,BrandC,3019.85,Thomasberg,south,16343.92,15937.35,-8221.45
10,149,2025-10-11,7,278.19,287.45,clothing,BrandB,4098.51,New Melanie,south,1947.33,1659.88,-27029.69
9,117,2025-10-05,7,3581.66,347.1,clothing,BrandD,3779.3,New Ericmouth,west,25071.62,24724.52,-1730.58
1,119,2025-09-23,2,5515.76,483.03,groceries,BrandE,1766.86,Thomasberg,south,11031.52,10548.49,7014.77
6,121,2025-10-16,9,4680.04,281.58,clothing,BrandC,874.97,South Donna,north,42120.36,41838.78,33964.05
1,108,2025-08-22,3,5101.91,384.98,toys,BrandB,1985.36,Thomasberg,south,15305.73,14920.75,8964.67
1,101,2025-11-05,6,5184.92,378.74,electronics,BrandD,2518.23,Thomasberg,south,31109.52,30730.78,15621.4
10,132,2025-10-23,2,5769.27,480.62,electronics,BrandB,1074.66,New Melanie,south,11538.54,11057.92,8908.6
8,148,2025-11-07,3,2335.51,229.42,electronics,BrandB,3686.35,North Kristopherborough,south,7006.53,6777.11,-4281.94
9,128,2025-10-11,9,5660.25,230.36,groceries,BrandA,621.41,New Ericmouth,west,50942.25,50711.89,45119.2
9,112,2025-08-19,7,2464.23,293.41,clothing,BrandB,2810.81,New Ericmouth,west,17249.61,16956.2,-2719.47
3,109,2025-10-28,9,741.04,13.68,clothing,BrandC,3019.85,Lake Tammychester,east,6669.36,6655.68,-20522.97
1,125,2025-09-02,3,1915.33,58.13,electronics,BrandC,4862.25,Thomasberg,south,5745.99,5687.86,-8898.89
9,135,2025-08-15,4,948.24,33.78,electronics,BrandD,4772.15,New Ericmouth,west,3792.96,3759.18,-15329.42
2,146,2025-09-23,1,1071.4,316.83,clothing,BrandD,2880.05,Brandonfurt,south,1071.4,754.57,-2125.48
3,115,2025-10-21,1,5699.86,497.1,groceries,BrandB,661.3,Lake Tammychester,east,5699.86,5202.76,4541.46
2,133,2025-09-28,5,4782.28,338.46,furniture,BrandD,1932.18,Brandonfurt,south,23911.4,23572.94,13912.04
10,136,2025-10-10,8,5769.87,114.97,furniture,BrandB,4619.93,New Melanie,south,46158.96,46043.99,9084.55
2,143,2025-09-24,9,3947.7,157.87,clothing,BrandE,4053.2,Brandonfurt,south,35529.3,35371.43,-1107.37
4,123,2025-10-20,7,1169.09,477.72,groceries,BrandB,3638.25,Saraville,north,8183.63,7705.91,-17761.84
7,105,2025-10-20,9,5817.15,258.25,toys,BrandB,883.91,Lake David,south,52354.35,52096.1,44140.91
2,126,2025-10-28,7,4207.33,4.86,furniture,BrandD,3833.61,Brandonfurt,south,29451.31,29446.45,2611.18
10,148,2025-08-22,4,5583.74,416.09,electronics,BrandB,3686.35,New Melanie,south,22334.96,21918.87,7173.47
4,103,2025-09-26,4,4753.9,124.13,clothing,BrandD,4319.4,Saraville,north,19015.6,18891.47,1613.87
10,128,2025-09-08,8,1455.94,46.5,groceries,BrandA,621.41,New Melanie,south,11647.52,11601.02,6629.74
10,102,2025-10-10,6,3595.36,336.85,electronics,BrandC,3803.33,New Melanie,south,21572.16,21235.31,-1584.67
1,130,2025-09-14,3,1175.81,410.54,toys,BrandE,4224.18,Thomasberg,south,3527.43,3116.89,-9555.65
10,105,2025-08-14,5,1944.92,38.01,toys,BrandB,883.91,New Melanie,south,9724.6,9686.59,5267.04
2,121,2025-10-23,4,4177.72,465.7,clothing,BrandC,874.97,Brandonfurt,south,16710.88,16245.18,12745.3
7,137,2025-08-26,2,894.99,238.28,electronics,BrandC,4600.62,Lake David,south,1789.98,1551.7,-7649.54
10,128,2025-09-25,1,4413.66,176.77,groceries,BrandA,621.41,New Melanie,south,4413.66,4236.89,3615.48
10,137,2025-10-22,7,5700.41,447.16,electronics,BrandC,4600.62,New Melanie,south,39902.87,39455.71,7251.37
9,126,2025-11-09,10,5699.88,134.54,furniture,BrandD,3833.61,New Ericmouth,west,56998.8,56864.26,18528.16
6,146,2025-10-19,1,2440.87,473.56,clothing,BrandD,2880.05,South Donna,north,2440.87,1967.31,-912.74
5,141,2025-08-31,4,5966.56,341.55,groceries,BrandE,1878.61,Lake David,north,23866.24,23524.69,16010.25
4,127,2025-08-13,4,5796.33,454.96,electronics,BrandC,2587.64,Saraville,north,23185.32,22730.36,12379.8
6,119,2025-10-07,2,339.44,249.5,groceries,BrandE,1766.86,South Donna,north,678.88,429.38,-3104.34
4,108,2025-09-14,2,3673.97,99.83,toys,BrandB,1985.36,Saraville,north,7347.94,7248.11,3277.39
5,126,2025-08-19,10,5538.07,367.71,furniture,BrandD,3833.61,Lake David,north,55380.7,55012.99,16676.89
7,102,2025-08-14,1,5810.06,436.37,electronics,BrandC,3803.33,Lake David,south,5810.06,5373.69,1570.36
3,121,2025-09-14,8,1442.24,103.39,clothing,BrandC,874.97,Lake Tammychester,east,11537.92,11434.53,4434.77
5,111,2025-10-30,10,3458.47,101.38,furniture,BrandE,1331.93,Lake David,north,34584.7,34483.32,21164.02
8,140,2025-10-28,1,5629.62,124.85,toys,BrandE,648.15,North Kristopherborough,south,5629.62,5504.77,4856.62
6,130,2025-09-27,4,972.76,309.3,toys,BrandE,4224.18,South Donna,north,3891.04,3581.74,-13314.98
2,145,2025-10-30,1,4510.26,78,electronics,BrandE,1280.27,Brandonfurt,south,4510.26,4432.26,3151.99
1,124,2025-10-08,7,1542.28,53.34,electronics,BrandA,3626.44,Thomasberg,south,10795.96,10742.62,-14642.46
8,106,2025-10-25,8,5896.92,460.09,toys,BrandC,3434.36,North Kristopherborough,south,47175.36,46715.27,19240.39
10,128,2025-10-27,4,1132.14,337.91,groceries,BrandA,621.41,New Melanie,south,4528.56,4190.65,1705.01
10,107,2025-10-15,9,5329.12,331.71,electronics,BrandC,3022.4,New Melanie,south,47962.08,47630.37,20428.77
2,116,2025-09-19,4,669.05,306.91,electronics,BrandD,4435.46,Brandonfurt,south,2676.2,2369.29,-15372.55
2,128,2025-09-09,1,4297.45,382.12,groceries,BrandA,621.41,Brandonfurt,south,4297.45,3915.33,3293.92
9,138,2025-10-20,3,3888.75,270.74,toys,BrandB,3034.83,New Ericmouth,west,11666.25,11395.51,2291.02
4,126,2025-09-14,9,5336.92,21.13,furniture,BrandD,3833.61,Saraville,north,48032.28,48011.15,13508.66
9,134,2025-09-17,5,2762.79,241.15,toys,BrandD,891.59,New Ericmouth,west,13813.95,13572.8,9114.85
5,106,2025-11-06,4,1701.49,310.33,toys,BrandC,3434.36,Lake David,north,6805.96,6495.63,-7241.81
3,126,2025-08-22,10,1609.81,246.17,furniture,BrandD,3833.61,Lake Tammychester,east,16098.1,15851.93,-22484.17
6,120,2025-11-06,6,546.6,492.68,groceries,BrandB,1538.15,South Donna,north,3279.6,2786.92,-6441.98
2,148,2025-09-26,10,1651.45,448.5,electronics,BrandB,3686.35,Brandonfurt,south,16514.5,16066,-20797.5
4,122,2025-09-29,10,782,434.38,clothing,BrandA,115.9,Saraville,north,7820,7385.62,6226.62
6,115,2025-09-07,6,157.49,245.4,groceries,BrandB,661.3,South Donna,north,944.94,699.54,-3268.26
5,122,2025-10-09,4,2407.73,492.2,clothing,BrandA,115.9,Lake David,north,9630.92,9138.72,8675.12
3,150,2025-10-29,5,4435.62,458,electronics,BrandE,4892.12,Lake Tammychester,east,22178.1,21720.1,-2740.5
8,111,2025-08-13,3,5819.25,140.13,furniture,BrandE,1331.93,North Kristopherborough,south,17457.75,17317.62,13321.83
9,105,2025-11-05,9,5324.63,111.05,toys,BrandB,883.91,New Ericmouth,west,47921.67,47810.62,39855.43
5,133,2025-08-31,4,3034.53,288.33,furniture,BrandD,1932.18,Lake David,north,12138.12,11849.79,4121.07
10,141,2025-10-04,7,2365.47,27.07,groceries,BrandE,1878.61,New Melanie,south,16558.29,16531.22,3380.95
9,108,2025-09-18,5,3344.24,399.63,toys,BrandB,1985.36,New Ericmouth,west,16721.2,16321.57,6394.77
1,134,2025-09-18,5,743.36,239.16,toys,BrandD,891.59,Thomasberg,south,3716.8,3477.64,-980.31
9,133,2025-10-30,1,2955.01,270.38,furniture,BrandD,1932.18,New Ericmouth,west,2955.01,2684.63,752.45
5,113,2025-10-23,9,5204.7,251.24,furniture,BrandE,4717.91,Lake David,north,46842.3,46591.06,4129.87
2,150,2025-08-16,10,3958.17,196.86,electronics,BrandE,4892.12,Brandonfurt,south,39581.7,39384.84,-9536.36
3,123,2025-08-30,3,4169.89,343.17,groceries,BrandB,3638.25,Lake Tammychester,east,12509.67,12166.5,1251.75
5,123,2025-10-19,7,1101.54,87.4,groceries,BrandB,3638.25,Lake David,north,7710.78,7623.38,-17844.37
2,147,2025-10-15,9,581.2,488.25,groceries,BrandC,485.91,Brandonfurt,south,5230.8,4742.55,369.36
2,142,2025-11-03,8,5097.71,349.12,toys,BrandC,4928.07,Brandonfurt,south,40781.68,40432.56,1008
9,110,2025-09-02,1,1875.22,230.04,toys,BrandA,2393.44,New Ericmouth,west,1875.22,1645.18,-748.26
3,116,2025-11-09,6,2014.49,344.61,electronics,BrandD,4435.46,Lake Tammychester,east,12086.94,11742.33,-14870.43
5,107,2025-09-06,7,5717.22,5.91,electronics,BrandC,3022.4,Lake David,north,40020.54,40014.63,18857.83
5,110,2025-10-04,9,584.07,105.38,toys,BrandA,2393.44,Lake David,north,5256.63,5151.25,-16389.71
10,117,2025-09-27,6,1145.12,290.5,clothing,BrandD,3779.3,New Melanie,south,6870.72,6580.22,-16095.58
4,113,2025-10-23,7,2346.43,162.72,furniture,BrandE,4717.91,Saraville,north,16425.01,16262.29,-16763.08
6,112,2025-11-03,7,4432.11,306.39,clothing,BrandB,2810.81,South Donna,north,31024.77,30718.38,11042.71
4,139,2025-09-26,3,3350.22,129.85,groceries,BrandB,2494.17,Saraville,north,10050.66,9920.81,2438.3
5,110,2025-11-04,5,5404.03,274.28,toys,BrandA,2393.44,Lake David,north,27020.15,26745.87,14778.67
9,149,2025-09-26,7,694.66,118.57,clothing,BrandB,4098.51,New Ericmouth,west,4862.62,4744.05,-23945.52
8,149,2025-09-12,3,3625.08,235.67,clothing,BrandB,4098.51,North Kristopherborough,south,10875.24,10639.57,-1655.96
5,142,2025-09-23,9,3739.82,306.54,toys,BrandC,4928.07,Lake David,north,33658.38,33351.84,-11000.79
1,105,2025-09-27,8,2974.01,182.96,toys,BrandB,883.91,Thomasberg,south,23792.08,23609.12,16537.84
2,112,2025-08-21,4,331.31,249.39,clothing,BrandB,2810.81,Brandonfurt,south,1325.24,1075.85,-10167.39
7,150,2025-10-30,4,5663.29,105.27,electronics,BrandE,4892.12,Lake David,south,22653.16,22547.89,2979.41
5,141,2025-08-19,5,1115.23,350.36,groceries,BrandE,1878.61,Lake David,north,5576.15,5225.79,-4167.26
1,132,2025-08-13,3,5355.06,186.15,electronics,BrandB,1074.66,Thomasberg,south,16065.18,15879.03,12655.05
1,130,2025-09-29,8,1069.06,427.16,toys,BrandE,4224.18,Thomasberg,south,8552.48,8125.32,-25668.12
6,149,2025-08-19,1,742.36,139.81,clothing,BrandB,4098.51,South Donna,north,742.36,602.55,-3495.96
3,137,2025-10-14,9,1352.47,89.94,electronics,BrandC,4600.62,Lake Tammychester,east,12172.23,12082.29,-29323.29
5,149,2025-10-16,7,1261.41,65.57,clothing,BrandB,4098.51,Lake David,north,8829.87,8764.3,-19925.27
3,138,2025-11-03,7,4228.6,287.95,toys,BrandB,3034.83,Lake Tammychester,east,29600.2,29312.25,8068.44
8,129,2025-08-19,9,4373.92,114.28,groceries,BrandB,3163.97,North Kristopherborough,south,39365.28,39251,10775.27
9,144,2025-11-02,9,4420.35,49.93,electronics,BrandD,1273.32,New Ericmouth,west,39783.15,39733.22,28273.34
7,137,2025-10-21,3,1701.8,134.97,electronics,BrandC,4600.62,Lake David,south,5105.4,4970.43,-8831.43
9,142,2025-10-25,7,1796.91,117.9,toys,BrandC,4928.07,New Ericmouth,west,12578.37,12460.47,-22036.02
1,141,2025-08-21,4,1539.66,216.11,groceries,BrandE,1878.61,Thomasberg,south,6158.64,5942.53,-1571.91
2,140,2025-10-19,5,440.37,190.44,toys,BrandE,648.15,Brandonfurt,south,2201.85,2011.41,-1229.34
2,121,2025-10-23,4,3494.85,72.92,clothing,BrandC,874.97,Brandonfurt,south,13979.4,13906.48,10406.6
3,141,2025-10-10,6,5063.15,479.57,groceries,BrandE,1878.61,Lake Tammychester,east,30378.9,29899.33,18627.67
9,121,2025-09-02,2,1048.5,74.77,clothing,BrandC,874.97,New Ericmouth,west,2097,2022.23,272.29
1,110,2025-11-01,8,2260.85,402.83,toys,BrandA,2393.44,Thomasberg,south,18086.8,17683.97,-1463.55
6,129,2025-11-01,6,2651.49,88.3,groceries,BrandB,3163.97,South Donna,north,15908.94,15820.64,-3163.18
10,105,2025-10-27,2,1873.11,249.8,toys,BrandB,883.91,New Melanie,south,3746.22,3496.42,1728.6
9,131,2025-09-08,9,4022.82,497.78,groceries,BrandC,2587.55,New Ericmouth,west,36205.38,35707.6,12419.65
3,129,2025-10-29,4,3661.26,424.69,groceries,BrandB,3163.97,Lake Tammychester,east,14645.04,14220.35,1564.47
7,141,2025-08-26,1,1318.1,258.5,groceries,BrandE,1878.61,Lake David,south,1318.1,1059.6,-819.01
3,120,2025-09-20,5,300.55,360.28,groceries,BrandB,1538.15,Lake Tammychester,east,1502.75,1142.47,-6548.28
1,118,2025-08-14,7,1149.37,392.67,furniture,BrandC,3866.13,Thomasberg,south,8045.59,7652.92,-19409.99
5,138,2025-09-19,10,1857.1,150.02,toys,BrandB,3034.83,Lake David,north,18571,18420.98,-11927.32
6,104,2025-11-06,10,629.33,281.07,clothing,BrandC,848.92,South Donna,north,6293.3,6012.23,-2476.97
1,123,2025-10-16,1,5086.05,283.92,groceries,BrandB,3638.25,Thomasberg,south,5086.05,4802.13,1163.88
6,133,2025-10-11,2,1953.87,199.2,furniture,BrandD,1932.18,South Donna,north,3907.74,3708.54,-155.82
4,105,2025-10-23,4,2475.18,345.27,toys,BrandB,883.91,Saraville,north,9900.72,9555.45,6019.81
4,120,2025-09-17,10,3011.22,30.02,groceries,BrandB,1538.15,Saraville,north,30112.2,30082.18,14700.68
2,130,2025-09-01,9,4017.08,406.91,toys,BrandE,4224.18,Brandonfurt,south,36153.72,35746.81,-2270.81
6,129,2025-11-08,4,683.15,238.27,groceries,BrandB,3163.97,South Donna,north,2732.6,2494.33,-10161.55
9,103,2025-11-01,8,3333.14,314.93,clothing,BrandD,4319.4,New Ericmouth,west,26665.12,26350.19,-8205.01
7,104,2025-11-05,4,1231.56,224.93,clothing,BrandC,848.92,Lake David,south,4926.24,4701.31,1305.63
10,124,2025-09-02,6,5330.13,167.33,electronics,BrandA,3626.44,New Melanie,south,31980.78,31813.45,10054.81
3,119,2025-08-15,5,2311,180.48,groceries,BrandE,1766.86,Lake Tammychester,east,11555,11374.52,2540.22
4,105,2025-08-29,1,2757.79,280.18,toys,BrandB,883.91,Saraville,north,2757.79,2477.61,1593.7
3,142,2025-09-06,4,1690.28,465.92,toys,BrandC,4928.07,Lake Tammychester,east,6761.12,6295.2,-13417.08
